1745356180.928103447 0.041787863  450769 
1745356180.928103924 0.041615963  450770 
1745356180.928104162 0.041448355  450771 
1745356180.928104639 0.041283607  450772 
1745356180.928105354 0.041125298  450773 
1745356180.928106308 0.040972710  450774 
1745356180.930783749 0.043317556  450775 
1745356180.930789948 0.043145657  450776 
1745356180.930790663 0.042975664  450777 
1745356180.930791616 0.042802572  450778 
1745356180.930792570 0.042652369  450779 
1745356180.930793285 0.042482138  450780 
1745356180.930794001 0.042313337  450781 
1745356180.930795193 0.042121649  450782 
1745356180.930796146 0.041953325  450783 
1745356180.930796862 0.041759014  450784 
1745356180.930797577 0.041590929  450785 
1745356180.930800438 0.041424751  450786 
1745356180.931617022 0.042072296  450787 
1745356180.931619644 0.041904211  450788 
1745356180.931621313 0.041736841  450789 
1745356180.932305098 0.042269945  450790 
1745356180.932307482 0.042119503  450791 
1745356180.932308435 0.041950464  450792 
1745356180.932309151 0.041800022  450793 
1745356180.932309866 0.041606426  450794 
1745356180.932310820 0.041441441  450795 
1745356180.932311535 0.041273117  450796 
1745356180.932312965 0.041125059  450797 
1745356180.933300257 0.041797400  450798 
1745356180.933302402 0.041629791  450799 
1745356180.933303356 0.041480064  450800 
1745356180.933304310 0.041330814  450801 
1745356180.933305025 0.041136265  450802 
1745356180.933306217 0.040987968  450803 
1745356180.934974432 0.042484999  450804 
1745356180.934977055 0.042338610  450805 
1745356180.934978247 0.042190075  450806 
1745356180.934979916 0.042021751  450807 
1745356180.934980869 0.041873693  450808 
1745356180.934981823 0.041721106  450809 
1745356180.934982538 0.041558743  450810 
1745356180.934983253 0.041401386  450811 
1745356180.934984207 0.041228294  450812 
1745356180.934984922 0.041078329  450813 
1745356180.934986591 0.040928841  450814 
1745356180.935468674 0.041241407  450815 
1745356180.935471058 0.041094065  450816 
1745356180.935472250 0.040925026  450817 
1745356180.936225176 0.041527510  450818 
1745356180.936228752 0.041382074  450819 
1745356180.936956882 0.041938305  450820 
1745356180.936959505 0.041700363  450821 
1745356180.936960459 0.041451693  450822 
1745356180.936961651 0.041278124  450823 
